Date,Ticker,Open,High,Low,Close,Volume,Daily_Percent_Return,MA_50,MA_200,Dividends,Stock Splits
2025-03-10 04:00:00,COST,951.56,955.73,920.25,930.59,4459900,-3.1007,983.66,905.62,0.0,0.0
2025-03-11 04:00:00,COST,927.19,934.16,917.43,926.68,3204900,-0.4195,983.12,906.28,0.0,0.0
2025-03-12 04:00:00,COST,934.16,940.52,919.47,923.29,2331600,-0.3665,982.56,906.92,0.0,0.0
2025-03-13 04:00:00,COST,918.23,919.72,883.84,886.98,3447200,-3.9328,981.6,907.4,0.0,0.0
2025-03-14 04:00:00,COST,888.16,903.24,877.95,900.22,3186400,1.4933,981.26,907.89,0.0,0.0
2025-03-17 04:00:00,COST,897.94,919.61,894.33,912.86,2256100,1.4039,981.29,908.42,0.0,0.0
2025-03-18 04:00:00,COST,909.26,913.81,893.17,894.38,2182000,-2.0248,981.07,908.89,0.0,0.0
2025-03-19 04:00:00,COST,899.17,906.44,892.33,900.35,1908500,0.6681,980.84,909.35,0.0,0.0
2025-03-20 04:00:00,COST,897.81,903.77,890.44,891.74,1891800,-0.9568,980.32,909.79,0.0,0.0
2025-03-21 04:00:00,COST,885.11,906.05,880.34,905.54,3447600,1.5479,980.1,910.27,0.0,0.0
2025-03-24 04:00:00,COST,916.24,924.85,916.24,922.25,2208100,1.8455,980.09,910.78,0.0,0.0
2025-03-25 04:00:00,COST,922.84,928.48,918.72,926.45,1623000,0.4557,979.98,911.27,0.0,0.0
2025-03-26 04:00:00,COST,930.51,935.58,919.67,925.95,1644700,-0.0548,980.1,911.72,0.0,0.0
2025-03-27 04:00:00,COST,925.76,939.04,924.2,934.91,1547000,0.968,980.55,912.2,0.0,0.0
2025-03-28 04:00:00,COST,933.66,934.91,922.21,925.86,2100500,-0.9683,980.69,912.62,0.0,0.0
2025-03-31 04:00:00,COST,918.59,990.93,918.27,941.91,3102000,1.734,981.23,913.12,0.0,0.0
2025-04-01 04:00:00,COST,938.56,953.8,934.91,950.49,2041500,0.9114,981.48,913.67,0.0,0.0
2025-04-02 04:00:00,COST,946.95,966.92,946.11,961.13,1719900,1.119,981.84,914.28,0.0,0.0
2025-04-03 04:00:00,COST,927.27,977.33,924.2,963.12,3096900,0.2072,982.31,914.85,0.0,0.0
2025-04-04 04:00:00,COST,951.09,960.57,910.4,912.73,5167000,-5.2322,981.82,915.1,0.0,0.0
2025-04-07 04:00:00,COST,884.12,933.98,868.14,904.41,4626600,-0.9111,981.21,915.31,0.0,0.0
2025-04-08 04:00:00,COST,928.24,939.13,895.89,905.03,3545400,0.0683,980.11,915.55,0.0,0.0
2025-04-09 04:00:00,COST,904.28,963.5,894.0,961.24,5084500,6.2107,980.26,916.15,0.0,0.0
2025-04-10 04:00:00,COST,962.55,989.35,939.03,960.36,4209100,-0.0912,980.28,916.75,0.0,0.0
2025-04-11 04:00:00,COST,960.02,966.24,939.3,959.47,2721800,-0.0933,979.99,917.3,0.0,0.0
2025-04-14 04:00:00,COST,966.03,983.09,961.05,975.31,2219900,1.6514,980.0,917.93,0.0,0.0
2025-04-15 04:00:00,COST,981.32,989.93,970.26,972.92,1788200,-0.2451,979.45,918.57,0.0,0.0
2025-04-16 04:00:00,COST,968.15,974.65,955.31,963.79,2531700,-0.9387,978.4,919.18,0.0,0.0
2025-04-17 04:00:00,COST,969.3,995.83,968.01,990.43,2711100,2.7641,977.46,919.93,0.0,0.0
2025-04-21 04:00:00,COST,988.94,992.91,939.11,953.85,2841300,-3.6933,975.62,920.44,0.0,0.0
2025-04-22 04:00:00,COST,965.78,983.41,962.82,975.22,2230600,2.2406,974.34,921.04,0.0,0.0
2025-04-23 04:00:00,COST,990.45,991.68,965.04,971.85,2109700,-0.3462,972.62,921.5,0.0,0.0
2025-04-24 04:00:00,COST,969.62,974.0,956.78,971.49,2468500,-0.0369,970.97,921.99,0.0,0.0
2025-04-25 04:00:00,COST,969.98,974.32,958.94,973.16,1780900,0.1722,969.22,922.46,0.0,0.0
2025-04-28 04:00:00,COST,974.5,981.27,964.82,974.54,1616200,0.1412,967.26,922.94,0.0,0.0
2025-04-29 04:00:00,COST,974.0,989.15,967.09,987.64,1523100,1.3449,965.66,923.68,0.0,0.0
2025-04-30 04:00:00,COST,985.95,993.68,972.55,990.43,2212400,0.2823,964.44,924.45,0.0,0.0
2025-05-01 04:00:00,COST,986.05,1002.26,980.97,994.95,1829900,0.4565,963.17,925.22,0.0,0.0
2025-05-02 04:00:00,COST,1005.01,1015.16,1001.8,1005.48,1547400,1.0584,962.67,926.03,1.3,0.0
2025-05-05 04:00:00,COST,1004.69,1014.94,999.7,1012.05,1952600,0.6536,962.3,926.89,0.0,0.0
2025-05-06 04:00:00,COST,1005.63,1013.39,1000.71,1007.68,1381200,-0.4326,961.82,927.76,0.0,0.0
2025-05-07 04:00:00,COST,1008.35,1011.27,998.67,1004.34,1316000,-0.3315,960.88,928.63,0.0,0.0
2025-05-08 04:00:00,COST,1010.67,1014.16,988.63,1004.89,1882600,0.0556,960.43,929.45,0.0,0.0
2025-05-09 04:00:00,COST,1001.8,1007.89,995.26,1005.27,1176700,0.0377,960.18,930.25,0.0,0.0
2025-05-12 04:00:00,COST,1006.97,1014.07,989.47,1013.31,2069000,0.7995,959.56,931.19,0.0,0.0
2025-05-13 04:00:00,COST,1010.89,1020.97,984.84,996.24,2917000,-1.6848,958.63,932.13,0.0,0.0
2025-05-14 04:00:00,COST,995.97,997.07,987.75,988.77,2215000,-0.7497,957.76,933.01,0.0,0.0
2025-05-15 04:00:00,COST,989.88,1011.17,980.25,1007.65,2470700,1.9092,957.04,934.0,0.0,0.0
2025-05-16 04:00:00,COST,1009.66,1025.39,1006.18,1022.96,2033700,1.5201,957.05,935.09,0.0,0.0
2025-05-19 04:00:00,COST,1015.75,1032.1,1010.06,1031.45,1879800,0.8296,958.47,936.16,0.0,0.0
2025-05-20 04:00:00,COST,1027.13,1035.1,1027.13,1033.92,2271200,0.2398,960.54,937.27,0.0,0.0
2025-05-21 04:00:00,COST,1028.06,1036.57,1020.94,1022.44,1438900,-1.1111,962.45,938.3,0.0,0.0
2025-05-22 04:00:00,COST,1024.85,1025.91,1011.29,1015.29,1660900,-0.6993,964.29,939.39,0.0,0.0
2025-05-23 04:00:00,COST,1009.17,1012.27,1004.19,1005.68,1413900,-0.9459,966.67,940.36,0.0,0.0
2025-05-27 04:00:00,COST,1012.16,1016.1,1008.11,1014.95,1868200,0.9212,968.96,941.41,0.0,0.0
2025-05-28 04:00:00,COST,1014.21,1021.76,1010.13,1010.31,1674700,-0.4569,970.91,942.3,0.0,0.0
2025-05-29 04:00:00,COST,1013.17,1014.7,1000.8,1005.92,2016700,-0.4343,973.14,943.08,0.0,0.0
2025-05-30 04:00:00,COST,999.5,1049.55,999.2,1037.27,5403800,3.1168,975.88,943.98,0.0,0.0
2025-06-02 04:00:00,COST,1031.38,1057.54,1031.38,1053.9,2148000,1.6026,979.12,944.95,0.0,0.0
2025-06-03 04:00:00,COST,1051.2,1064.1,1040.34,1052.64,1992900,-0.1192,982.07,945.93,0.0,0.0
2025-06-04 04:00:00,COST,1052.05,1054.87,1046.44,1048.75,1422100,-0.3695,984.6,946.81,0.0,0.0
2025-06-05 04:00:00,COST,1047.07,1048.11,1003.2,1007.99,3289400,-3.8871,986.23,947.53,0.0,0.0
2025-06-06 04:00:00,COST,1017.78,1017.78,1005.79,1012.1,1855400,0.4086,987.95,948.25,0.0,0.0
2025-06-09 04:00:00,COST,1009.59,1010.52,994.18,1003.37,1696700,-0.8631,989.32,948.92,0.0,0.0
2025-06-10 04:00:00,COST,1004.12,1008.68,994.93,1004.46,2255000,0.1083,990.89,949.56,0.0,0.0
2025-06-11 04:00:00,COST,999.64,1002.63,990.6,993.99,2459800,-1.0414,991.93,950.17,0.0,0.0
2025-06-12 04:00:00,COST,996.21,1000.45,992.58,999.91,1720100,0.5949,992.92,950.81,0.0,0.0
2025-06-13 04:00:00,COST,996.29,1000.79,985.91,987.44,1786000,-1.2466,993.45,951.31,0.0,0.0
2025-06-16 04:00:00,COST,989.56,999.05,978.7,981.61,2109300,-0.5908,993.82,951.7,0.0,0.0
2025-06-17 04:00:00,COST,980.25,983.34,973.47,974.99,1668200,-0.6746,995.06,952.17,0.0,0.0
2025-06-18 04:00:00,COST,977.26,979.9,971.35,972.18,1509600,-0.2884,996.42,952.62,0.0,0.0
